City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Berezovyy,RU,51.67,135.7,19.52,84,96,2.51,overcast clouds
316,Poyarkovo,RU,49.6,128.68,23.15,79,92,2.49,overcast clouds
317,Valparaiso,CL,-33.04,-71.63,12.0,71,100,3.6,overcast clouds
318,Fortuna,US,40.6,-124.16,19.44,77,1,2.24,clear sky
319,Liverpool,GB,53.41,-2.98,20.0,72,79,3.1,broken clouds
320,Fethiye,TR,36.62,29.12,26.0,83,0,0.5,clear sky
321,Deer Lake,CA,49.17,-57.43,20.0,77,75,2.6,broken clouds
322,Sistranda,NO,63.73,8.83,14.0,93,75,4.6,broken clouds
323,Torres,BR,-29.34,-49.73,11.63,84,26,2.85,scattered clouds
324,Manaure,CO,11.78,-72.44,28.17,80,14,5.16,few clouds
325,Perth,AU,-31.93,115.83,9.0,93,20,3.1,few clouds
326,Hokitika,NZ,-42.72,170.97,11.35,70,100,2.77,overcast clouds
327,Dezhou,CN,37.45,116.29,26.45,82,2,3.57,light rain
328,Hami,CN,42.8,93.45,21.53,33,0,6.22,clear sky
329,Vaitape,PF,-16.52,-151.75,26.77,77,51,5.64,light rain
330,Biltine,TD,14.53,20.92,27.82,60,78,3.87,light rain
331,Santa Isabel,BR,-23.32,-46.22,16.0,87,90,3.6,overcast clouds
332,Hovd,MN,48.01,91.64,12.77,54,81,2.27,broken clouds
333,Astoria,US,46.19,-123.83,27.78,50,1,5.7,clear sky
334,Aklavik,CA,68.22,-135.01,25.0,41,75,3.1,haze
335,Husavik,IS,66.04,-17.34,10.0,87,75,5.1,broken clouds
336,Puerto Madryn,AR,-42.77,-65.04,9.15,52,100,4.95,overcast clouds
337,Sorgun,TR,39.81,35.19,15.66,84,0,2.5,clear sky
338,Lebu,CL,-37.62,-73.65,10.17,90,99,5.6,light rain
339,Smyshlyayevka,RU,53.24,50.39,22.0,68,40,1.0,scattered clouds
340,Kharabali,RU,47.42,47.26,21.11,99,51,3.63,broken clouds
341,Iberia,US,29.95,-91.75,33.33,75,40,5.7,scattered clouds
342,Bubaque,GW,11.28,-15.83,26.82,82,100,7.78,light rain
343,Chimbote,PE,-9.09,-78.58,16.77,79,9,3.48,clear sky
344,Kisangani,CD,0.52,25.2,23.18,76,0,0.82,clear sky
345,Barnaul,RU,53.36,83.76,11.0,76,0,1.0,clear sky
346,Kyzyl-Suu,KG,42.34,78.0,14.23,48,90,1.74,overcast clouds
347,Mitu,CO,1.2,-70.17,25.92,67,0,1.45,clear sky
348,Novobirilyussy,RU,56.95,90.67,11.36,98,86,1.43,overcast clouds
349,Laguna,US,38.42,-121.42,36.11,20,5,2.6,clear sky
350,Mahajanga,MG,-15.72,46.32,23.13,78,0,2.38,clear sky
351,Mittagong,AU,-34.45,150.45,12.22,90,4,0.94,clear sky
352,Biak,ID,-0.91,122.88,23.93,92,99,2.51,heavy intensity rain
353,Beckley,US,37.78,-81.19,22.22,100,90,3.1,moderate rain
354,Beyneu,KZ,45.32,55.2,20.93,52,0,1.88,clear sky
355,Yar-Sale,RU,66.83,70.83,9.92,83,0,2.88,clear sky
356,Pangnirtung,CA,66.15,-65.71,12.0,93,90,2.6,light rain
357,Saint-Georges,GD,12.06,-61.75,30.0,74,20,4.6,few clouds
358,Raahe,FI,64.68,24.48,14.0,87,27,2.6,scattered clouds
359,Lake Charles,US,30.21,-93.2,33.0,66,40,7.7,scattered clouds
360,Waterfoot,GB,53.69,-2.25,20.0,80,50,2.04,scattered clouds
361,Kalmunai,LK,7.42,81.82,26.43,75,98,2.87,overcast clouds
362,Singapore,SG,1.29,103.85,28.0,83,75,3.1,broken clouds
363,Wollongong,AU,-34.43,150.88,12.22,68,17,2.68,few clouds
