City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Esmeraldas,BR,21.0,light rain,-19.76,-44.31,Hotel Fazenda Lagoa Azul
463,Goderich,CA,22.78,clear sky,43.75,-81.72,Harmony Inn
466,Tezu,IN,24.02,moderate rain,27.92,96.17,Circuit House
468,Khani,GE,22.0,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
472,Bairiki,KI,30.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
473,Mountain Home,US,39.0,clear sky,43.13,-115.69,Mountain Home Inn
475,Barcelos,PT,20.0,broken clouds,41.54,-8.62,Hotel Do Terço
477,Atar,MR,32.13,light rain,20.52,-13.05,Oumou Elghoura
478,Los Llanos De Aridane,ES,23.0,overcast clouds,28.66,-17.92,Valle Aridane
482,Jasper,US,31.0,broken clouds,37.2,-94.35,Guest House Motel
483,Camocim,BR,25.67,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
484,Sinnamary,GF,26.24,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
486,Padang,ID,23.0,broken clouds,-0.95,100.35,Mercure Padang
487,Belmonte,BR,23.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
489,Chernyshkovskiy,RU,24.11,few clouds,48.42,42.23,"The hotel ""Eugenia"""
491,Morgan City,US,32.78,broken clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
495,Elat,IL,35.0,clear sky,29.56,34.95,Club Hotel Eilat
496,Dhar,IN,24.87,overcast clouds,22.6,75.3,Hotel Shrinath Residency
497,Moerai,PF,22.93,clear sky,-22.43,-151.33,Le Manotel
500,Cap Malheureux,MU,20.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
502,Sagua La Grande,CU,31.0,scattered clouds,22.81,-80.08,Hotel Amaro
503,Manzanillo,CU,29.16,few clouds,20.34,-77.12,Adrian & Tonia
507,Kaduqli,SD,23.45,broken clouds,11.02,29.72,فندق الله جابو
508,Kuryk,KZ,22.4,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
509,Meulaboh,ID,25.35,light rain,4.14,96.13,Kost Pria
511,Hirara,JP,28.0,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
513,Freeport,US,30.0,clear sky,40.66,-73.58,The Freeport Inn and Marina
515,Vao,NC,22.57,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
516,Russell,US,33.0,scattered clouds,32.35,-85.2,Macs
517,Xinyu,CN,26.74,scattered clouds,27.8,114.93,Xinyu Beihu Hotel
519,Popondetta,PG,27.27,few clouds,-8.75,148.25,Timos Transit House
521,Juegang,CN,26.45,overcast clouds,32.32,121.19,Rudong Y Hotel
522,Ipixuna,BR,29.0,thunderstorm,-1.76,-48.8,Casa da Oscarina
523,Rosarito,MX,27.22,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
524,Arrifes,PT,21.0,few clouds,37.77,-25.7,Hotel Ponta Delgada
525,Matara,LK,25.48,light rain,5.95,80.54,Amaloh Boutique Resort
